Type,StreamOrder,GenusRichness
eDITH,2,7
eDITH,2,11
eDITH,2,10
eDITH,2,11
eDITH,2,15
eDITH,2,9
eDITH,2,18
eDITH,2,4
eDITH,2,7
eDITH,2,2
eDITH,2,7
eDITH,2,10
eDITH,2,10
eDITH,2,1
eDITH,2,7
eDITH,2,11
eDITH,2,6
eDITH,2,3
eDITH,2,11
eDITH,2,10
eDITH,2,11
eDITH,2,10
eDITH,2,11
eDITH,2,14
eDITH,2,12
eDITH,2,2
eDITH,2,6
eDITH,2,12
eDITH,2,10
eDITH,2,14
eDITH,2,4
eDITH,2,11
eDITH,2,4
eDITH,2,12
eDITH,2,10
eDITH,2,17
eDITH,2,11
eDITH,2,11
eDITH,2,7
eDITH,2,11
eDITH,2,11
eDITH,2,12
eDITH,2,7
eDITH,2,12
eDITH,2,15
eDITH,2,6
eDITH,2,18
eDITH,2,15
eDITH,2,12
eDITH,2,10
eDITH,2,12
eDITH,2,12
eDITH,2,9
eDITH,2,11
eDITH,2,14
eDITH,2,14
eDITH,2,12
eDITH,2,5
eDITH,2,11
eDITH,2,10
eDITH,2,16
eDITH,2,6
eDITH,2,16
eDITH,2,14
eDITH,2,4
eDITH,2,6
eDITH,2,10
eDITH,2,16
eDITH,2,12
eDITH,2,12
eDITH,2,11
eDITH,2,10
eDITH,2,17
eDITH,2,10
eDITH,2,7
eDITH,2,17
eDITH,2,14
eDITH,2,11
eDITH,2,12
eDITH,2,12
eDITH,2,16
eDITH,2,11
eDITH,2,8
eDITH,2,11
eDITH,2,18
eDITH,2,18
eDITH,2,7
eDITH,2,15
eDITH,2,18
eDITH,2,4
eDITH,2,9
eDITH,2,10
eDITH,2,15
eDITH,2,6
eDITH,2,14
eDITH,2,12
eDITH,2,10
eDITH,2,5
eDITH,2,11
eDITH,2,12
eDITH,2,11
eDITH,2,11
eDITH,2,10
eDITH,2,15
eDITH,2,12
eDITH,2,10
eDITH,2,10
eDITH,2,11
eDITH,2,8
eDITH,2,12
eDITH,2,3
eDITH,2,6
eDITH,2,6
eDITH,2,7
eDITH,2,3
eDITH,2,1
eDITH,2,8
eDITH,2,9
eDITH,2,5
eDITH,2,12
eDITH,2,11
eDITH,2,6
eDITH,2,9
eDITH,2,15
eDITH,2,14
eDITH,2,13
eDITH,2,14
eDITH,2,3
eDITH,2,8
eDITH,2,4
eDITH,2,11
eDITH,2,9
eDITH,2,6
eDITH,2,2
eDITH,2,6
eDITH,2,3
eDITH,2,13
eDITH,2,7
eDITH,2,4
eDITH,2,5
eDITH,2,3
eDITH,2,10
eDITH,2,5
eDITH,2,2
eDITH,2,6
eDITH,2,3
eDITH,2,7
eDITH,2,12
eDITH,2,13
eDITH,2,7
eDITH,2,6
eDITH,2,8
eDITH,2,6
eDITH,2,2
eDITH,2,4
eDITH,2,9
eDITH,2,7
eDITH,2,5
eDITH,2,8
eDITH,2,15
eDITH,3,13
eDITH,3,13
eDITH,3,14
eDITH,3,14
eDITH,3,10
eDITH,3,14
eDITH,3,9
eDITH,3,13
eDITH,3,15
eDITH,3,1
eDITH,3,14
eDITH,3,13
eDITH,3,15
eDITH,3,13
eDITH,3,15
eDITH,3,13
eDITH,3,13
eDITH,3,12
eDITH,3,15
eDITH,3,10
eDITH,3,6
eDITH,3,14
eDITH,3,8
eDITH,3,8
eDITH,3,13
eDITH,3,7
eDITH,3,13
eDITH,3,9
eDITH,3,8
eDITH,3,9
eDITH,3,0
eDITH,3,7
eDITH,3,11
eDITH,3,11
eDITH,3,13
eDITH,3,6
eDITH,3,3
eDITH,3,4
eDITH,3,4
eDITH,3,13
eDITH,3,9
eDITH,3,10
eDITH,3,8
eDITH,3,10
eDITH,3,6
eDITH,3,3
eDITH,3,10
eDITH,3,5
eDITH,3,2
eDITH,3,1
eDITH,3,3
eDITH,3,10
eDITH,3,3
eDITH,3,4
eDITH,3,4
eDITH,3,4
eDITH,3,8
eDITH,3,11
eDITH,3,9
eDITH,3,7
eDITH,3,7
eDITH,3,8
eDITH,3,10
eDITH,3,7
eDITH,3,7
eDITH,4,4
eDITH,4,1
eDITH,4,4
eDITH,4,3
eDITH,4,0
eDITH,4,4
eDITH,4,2
eDITH,4,2
eDITH,4,3
eDITH,4,8
eDITH,4,4
eDITH,4,4
eDITH,4,4
eDITH,4,6
eDITH,4,7
eDITH,4,7
eDITH,4,10
eDITH,4,7
eDITH,4,7
eDITH,4,8
eDITH,4,6
eDITH,4,7
eDITH,4,6
eDITH,4,6
eDITH,4,8
eDITH,4,8
eDITH,4,5
eDITH,4,6
eDITH,4,6
eDITH,4,5
eDITH,4,8
eDITH,4,8
eDITH,4,2
eDITH,4,6
eDITH,4,5
eDITH,4,16
eDITH,4,6
eDITH,4,5
eDITH,4,6
eDITH,4,7
eDITH,4,5
eDITH,4,5
eDITH,4,6
eDITH,4,6
eDITH,4,10
eDITH,4,13
eDITH,4,4
eDITH,4,5
eDITH,4,9
eDITH,4,8
eDITH,4,9
eDITH,4,12
eDITH,4,4
eDITH,4,13
eDITH,4,7
eDITH,4,4
eDITH,4,11
eDITH,4,5
eDITH,4,4
eDITH,4,3
eDITH,4,17
eDITH,4,8
eDITH,4,5
eDITH,4,13
eDITH,4,4
eDITH,4,14
eDITH,4,6
eDITH,4,11
eDITH,4,13
eDITH,4,11
eDITH,4,5
eDITH,4,11
eDITH,4,9
eDITH,4,10
eDITH,4,5
eDITH,4,13
eDITH,4,4
eDITH,4,12
eDITH,4,6
eDITH,4,3
eDITH,4,13
eDITH,4,3
eDITH,4,13
eDITH,4,4
eDITH,4,13
eDITH,4,13
eDITH,4,6
eDITH,4,13
eDITH,4,9
eDITH,4,8
eDITH,4,3
eDITH,4,3
eDITH,4,13
eDITH,4,7
eDITH,4,15
eDITH,4,13
eDITH,4,7
eDITH,4,3
eDITH,4,3
eDITH,4,13
eDITH,4,11
eDITH,4,13
eDITH,4,9
eDITH,4,4
eDITH,4,5
eDITH,4,4
eDITH,4,8
eDITH,4,7
eDITH,4,10
eDITH,4,3
eDITH,4,4
eDITH,4,6
eDITH,4,3
eDITH,4,5
eDITH,4,4
eDITH,4,11
eDITH,4,11
eDITH,4,4
eDITH,4,15
eDITH,4,13
eDITH,4,12
eDITH,4,8
eDITH,4,5
eDITH,4,11
eDITH,4,8
eDITH,4,8
eDITH,4,12
eDITH,4,13
eDITH,4,8
eDITH,4,13
eDITH,4,11
eDITH,4,7
eDITH,4,6
eDITH,4,6
eDITH,4,8
eDITH,4,8
eDITH,4,5
eDNA,1,12
eDNA,1,18
eDNA,1,11
eDNA,1,16
eDNA,1,17
eDNA,1,13
eDNA,1,14
eDNA,1,9
eDNA,1,4
eDNA,1,9
eDNA,1,14
eDNA,1,17
eDNA,1,13
eDNA,1,8
eDNA,1,16
eDNA,1,14
eDNA,1,10
eDNA,1,14
eDNA,1,8
eDNA,1,12
eDNA,1,8
eDNA,1,9
eDNA,1,11
eDNA,1,10
eDNA,1,12
eDNA,1,12
eDNA,1,9
eDNA,1,13
eDNA,1,16
eDNA,2,11
eDNA,2,14
eDNA,2,14
eDNA,2,19
eDNA,2,12
eDNA,2,7
eDNA,2,15
eDNA,2,15
eDNA,2,19
eDNA,2,13
eDNA,2,14
eDNA,2,13
eDNA,3,13
eDNA,3,13
eDNA,3,14
eDNA,3,14
eDNA,3,10
eDNA,3,14
eDNA,3,9
eDNA,4,4
eDNA,4,1
eDNA,4,4
eDNA,4,3
eDNA,4,0
eDNA,4,4
eDNA,4,2
eDNA,4,2
eDNA,4,3
eDNA,4,8
eDNA,4,4
eDNA,4,4
eDNA,4,4
Kicknet,1,12
Kicknet,1,18
Kicknet,1,11
Kicknet,1,16
Kicknet,1,17
Kicknet,1,13
Kicknet,1,14
Kicknet,1,9
Kicknet,1,4
Kicknet,1,9
Kicknet,1,14
Kicknet,1,17
Kicknet,1,13
Kicknet,1,8
Kicknet,1,16
Kicknet,1,14
Kicknet,1,10
Kicknet,1,14
Kicknet,1,8
Kicknet,1,12
Kicknet,1,8
Kicknet,1,9
Kicknet,1,11
Kicknet,1,10
Kicknet,1,12
Kicknet,1,12
Kicknet,1,9
Kicknet,1,13
Kicknet,1,16
Kicknet,2,11
Kicknet,2,14
Kicknet,2,14
Kicknet,2,19
Kicknet,2,12
Kicknet,2,7
Kicknet,2,15
Kicknet,2,15
Kicknet,2,19
Kicknet,2,13
Kicknet,2,14
Kicknet,2,13
Kicknet,3,13
Kicknet,3,13
Kicknet,3,14
Kicknet,3,14
Kicknet,3,10
Kicknet,3,14
Kicknet,3,9
Kicknet,4,4
Kicknet,4,1
Kicknet,4,4
Kicknet,4,3
Kicknet,4,0
Kicknet,4,4
Kicknet,4,2
Kicknet,4,2
Kicknet,4,3
Kicknet,4,8
Kicknet,4,4
Kicknet,4,4
